code,name,in_colorectal_tree,relation_types,relation_groups,nci_url
C9454,Colon Poorly Differentiated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9454
C96486,Colon Serrated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96486
C7967,Colon Signet Ring Cell Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C7967
C6761,Colon Small Cell Neuroendocrine Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C6761
C5490,Colon Squamous Cell Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C5490
C7100,Colon Undifferentiated Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C7100
C9452,Colon Well Differentiated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9452
C5105,Colorectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C5105
C157355,Colorectal Adenocarcinoma Metastatic in the Liver,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C157355
C172699,Colorectal Adenoma-Like Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C172699
C43589,Colorectal Adenosquamous Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43589
C90506,Colorectal Cancer by AJCC v6 Stage,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C90506
C91223,Colorectal Cancer by AJCC v7 Stage,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C91223
C134180,Colorectal Cancer by AJCC v8 Stage,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C134180
C2955,Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C2955
C226293,Colorectal Carcinoma In Situ,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C226293
C157366,Colorectal Carcinoma Metastatic in the Liver,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C157366
C153224,Colorectal Carcinoma Metastatic in the Lung,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C153224
C96488,Colorectal Cribriform Comedo-Type Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96488
C213111,Colorectal Goblet Cell Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C213111
C213479,Colorectal Hepatoid Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C213479
C96157,Colorectal Large Cell Neuroendocrine Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96157
C226754,Colorectal Low Grade Tubuloglandular Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C226754
C43590,Colorectal Medullary Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43590
C96491,Colorectal Micropapillary Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96491
C96158,Colorectal Mixed Adenoneuroendocrine Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96158
C9447,Colorectal Moderately Differentiated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9447
C43585,Colorectal Mucinous Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43585
C96156,Colorectal Neuroendocrine Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96156
C172694,Colorectal Poorly Cohesive Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C172694
C9448,Colorectal Poorly Differentiated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9448
C96494,Colorectal Sarcomatoid Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96494
C96485,Colorectal Serrated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96485
C43586,Colorectal Signet Ring Cell Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43586
C43587,Colorectal Small Cell Neuroendocrine Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43587
C43588,Colorectal Squamous Cell Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43588
C43591,Colorectal Undifferentiated Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43591
C9446,Colorectal Well Differentiated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9446
C96497,Crohn Disease-Associated Colorectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96497
C202634,Distal Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C202634
C214793,Early Stage Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C214793
C205290,Early Stage Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C205290
C164228,Hereditary Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C164228
C162256,Hypermutated Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162256
C172700,Inflammatory Bowel Disease-Associated Colorectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C172700
C220570,Localized Colon Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C220570
C220569,Localized Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C220569
C212894,Localized Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C212894
C213456,Localized Rectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C213456
C220571,Localized Rectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C220571
C190415,Locally Advanced Colon Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C190415
C170910,Locally Advanced Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170910
C190413,Locally Advanced Colorectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C190413
C162766,Locally Advanced Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162766
C178269,Locally Advanced Microsatellite Stable Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C178269
C156745,Locally Advanced Microsatellite Stable Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C156745
C174122,Locally Advanced Rectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C174122
C170778,Locally Advanced Rectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170778
C170781,Locally Advanced Rectal Squamous Cell Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170781
C162271,Locally Advanced Unresectable Colon Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162271
C162270,Locally Advanced Unresectable Colorectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162270
C215683,Locally Advanced Unresectable Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C215683
C162272,Locally Advanced Unresectable Rectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162272
C190199,Locally Recurrent Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C190199
C223142,Locally Recurrent Rectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C223142
C209992,Locally Recurrent Rectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C209992
C209752,Metastatic Childhood Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C209752
C160819,Metastatic Colon Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C160819
C156097,Metastatic Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C156097
C161048,Metastatic Colorectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C161048
C156096,Metastatic Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C156096
C162273,Metastatic Colorectal Mucinous Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162273
C178268,Metastatic Microsatellite Stable Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C178268
C142867,Metastatic Microsatellite Stable Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C142867
C218466,Metastatic Mismatch Repair Proficient Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C218466
C160820,Metastatic Rectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C160820
C156098,Metastatic Rectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C156098
C170779,Metastatic Rectal Squamous Cell Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C170779
C212108,Metastatic Resectable Colorectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C212108
C211028,Metastatic Unresectable Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C211028
C177777,Microsatellite Stable Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C177777
C173324,Microsatellite Stable Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C173324
C177776,Microsatellite Stable Rectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C177776
C218464,Mismatch Repair Proficient Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C218464
C185165,Oligometastatic Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C185165
C202633,Proximal Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C202633
C9383,Rectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9383
C43594,Rectal Adenosquamous Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43594
C90508,Rectal Cancer by AJCC v6 Stage,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C90508
C91225,Rectal Cancer by AJCC v7 Stage,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C91225
C134258,Rectal Cancer by AJCC v8 Stage,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C134258
C9382,Rectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9382
C226295,Rectal Carcinoma In Situ,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C226295
C136240,Rectal Carcinoma Metastatic in the Liver,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C136240
C5555,Rectal Cloacogenic Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C5555
C96490,Rectal Cribriform Comedo-Type Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96490
C213481,Rectal Hepatoid Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C213481
C176697,Rectal Large Cell Neuroendocrine Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C176697
C60640,Rectal Medullary Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C60640
C96493,Rectal Micropapillary Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96493
C9450,Rectal Moderately Differentiated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9450
C7973,Rectal Mucinous Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C7973
C203385,Rectal Neuroendocrine Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C203385
C9449,Rectal Poorly Differentiated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9449
C5556,Rectal Sarcomatoid Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C5556
C96487,Rectal Serrated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96487
C9168,Rectal Signet Ring Cell Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9168
C60639,Rectal Small Cell Neuroendocrine Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C60639
C5554,Rectal Squamous Cell Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C5554
C7974,Rectal Undifferentiated Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C7974
C9451,Rectal Well Differentiated Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9451
C43584,Rectosigmoid Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43584
C90509,Rectosigmoid Cancer by AJCC v6 Stage,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C90509
C91226,Rectosigmoid Cancer by AJCC v7 Stage,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C91226
C7421,Rectosigmoid Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C7421
C226296,Rectosigmoid Carcinoma In Situ,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C226296
C43592,Rectosigmoid Mucinous Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43592
C43593,Rectosigmoid Signet Ring Cell Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C43593
C162442,Recurrent Colon Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162442
C3998,Recurrent Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C3998
C162441,Recurrent Colorectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162441
C8625,Recurrent Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C8625
C190679,Recurrent Microsatellite Stable Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C190679
C162443,Recurrent Rectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162443
C9238,Recurrent Rectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C9238
C8634,Recurrent Rectosigmoid Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C8634
C214783,Recurrent Unresectable Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C214783
C162155,Refractory Colon Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162155
C153351,Refractory Colon Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C153351
C162154,Refractory Colorectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C162154
C147982,Refractory Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C147982
C213230,Refractory Metastatic Colorectal Adenocarcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C213230
C173332,Refractory Microsatellite Stable Colorectal Carcinoma,Y,descendant_of_root,hierarchy,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C173332
