source_code,source_name,relation_code,relation_type,target_code,target_name,relation_group,direction
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,R89,Disease_May_Have_Molecular_Abnormality,C36683,Inactivating APC Gene Mutation,role,out
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,R89,Disease_May_Have_Molecular_Abnormality,C36665,KRAS Gene Amplification,role,out
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,R89,Disease_May_Have_Molecular_Abnormality,C43597,MYC Gene Mutation,role,out
C213379,Adenocarcinoma in Rectal Adenomatous Polyp,R89,Disease_May_Have_Molecular_Abnormality,C36329,TP53 Gene Inactivation,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,A8,Concept_In_Subset,C126659,NCIt Neoplasm Core Terminology,association,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,C36771,Malignant Squamous Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,C37153,Malignant Stromal Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,C36937,Neoplastic Smooth Muscle Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R139,Disease_Excludes_Abnormal_Cell,C36760,Neoplastic Squamous Cell,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,C36122,Benign Cellular Infiltrate,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,C155862,Intermediate Grade Neuroendocrine Lesion,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,C36117,Invasive Lesion,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,C155864,Low Grade Neuroendocrine Lesion,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,C62273,Mixed Neoplastic Glandular and Squamous Cell Population,role,out
C27413,Adenoma of the Colon with Intramucosal Adenocarcinoma,R142,Disease_Excludes_Finding,C155861,Well Differentiated Neuroendocrine Lesion,role,out
