code,name,active,concept_status,semantic_types,umls_cui,relation_types,relation_groups,definitions,synonym_count,nci_url
C226527,Digestive System Adenosquamous Carcinoma,True,DEFAULT,Neoplastic Process,,is_parent_of,hierarchy,A rare carcinoma that arises from the digestive system and is characterized by the presence of adenocarcinoma and squamous cell carcinoma components.,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C226527
C96963,Digestive System Carcinoma,True,DEFAULT,Neoplastic Process,C0151544,is_parent_of,hierarchy,"A malignant neoplasm that arises from the epithelium of any part of the digestive system.  Representative examples include colorectal carcinoma, esophageal carcinoma, and pancreatic carcinoma.",7,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C96963
C35180,Digestive System Carcinoma In Situ,True,DEFAULT,Neoplastic Process,C0154057,is_parent_of,hierarchy,An intraepithelial carcinoma arising from any part of the digestive system without evidence of invasion.,7,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C35180
C154617,Digestive System Large Cell Neuroendocrine Carcinoma,True,DEFAULT,Neoplastic Process,,is_parent_of,hierarchy,An aggressive high-grade carcinoma with neuroendocrine differentiation that arises from the digestive system and is composed of malignant large cells. The mitotic count is more than 20 per 2 mm2 and/or the Ki-67 index is more than 20% (often more than 70%).,3,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C154617
C95406,Digestive System Mixed Adenoneuroendocrine Carcinoma,True,DEFAULT,Neoplastic Process,C2987129,is_parent_of,hierarchy,A carcinoma that arises from the digestive system and is characterized by the presence of a malignant glandular epithelial component and a malignant neuroendocrine component. At least 30% of either component should be present for the diagnosis to be made.,10,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C95406
C154641,Digestive System Small Cell Neuroendocrine Carcinoma,True,DEFAULT,Neoplastic Process,,is_parent_of,hierarchy,An aggressive high-grade carcinoma with neuroendocrine differentiation that arises from the digestive system and is composed of malignant small cells. The mitotic count is more than 20 per 2 mm2 and/or the Ki-67 index is more than 20% (often more than 70%).,4,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C154641
C226528,Digestive System Undifferentiated Carcinoma,True,DEFAULT,Neoplastic Process,,is_parent_of,hierarchy,"A usually aggressive carcinoma that arises from the digestive system and is composed of malignant cells which do not display evidence of glandular, squamous, or transitional cell differentiation.",2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C226528
C202632,Distal Colon,True,DEFAULT,"Body Part, Organ, or Organ Component",,Disease_Has_Primary_Anatomic_Site,role,"The part of colon that includes the splenic flexure, descending colon, and sigmoid colon.",2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C202632
C18421,EPCAM Gene,True,DEFAULT,Gene or Genome,C0812305,Gene_Associated_With_Disease,role,This gene is involved in calcium-independent cellular adhesion and in the regulation of immune responses.,10,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C18421
C51229,EPCAM wt Allele,True,DEFAULT,Gene or Genome,C1704805,Gene_Associated_With_Disease,role,"Human EPCAM wild-type allele is located within 2p21 and is approximately 18 kb in length. This allele, which encodes epithelial cell adhesion molecule protein, is involved in calcium-independent cellular adhesion.",33,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C51229
C13054,Embryonic Cell,True,DEFAULT,Cell,C1947950,Disease_Excludes_Normal_Cell_Origin,role,"A cell formed in the initial stages of embryonic development, after zygote formation.",5,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C13054
C32506,Endocrine Cell,True,DEFAULT,Cell,C0229525,Disease_Has_Normal_Cell_Origin,role,,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C32506
C12573,Endocrine Cell of the Digestive System,True,DEFAULT,Cell,C3899265,Disease_Has_Normal_Cell_Origin,role,,7,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C12573
C188014,Endocrine Differentiation,True,DEFAULT,Finding,,Disease_Has_Finding,role,A finding in a tissue sample indicating the presence of epithelial cells that synthesize and secrete hormones.,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C188014
C12704,Endocrine Gland,True,DEFAULT,"Body Part, Organ, or Organ Component",C0014133,Disease_Has_Associated_Anatomic_Site|Disease_Has_Primary_Anatomic_Site,role,Ductless glands that secrete substances which are released directly into the circulation and which influence metabolism and other body functions. | Endocrine glands are glands of the endocrine system that secrete their products directly into the circulatory system rather than through a duct.,10,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C12704
C12705,Endocrine System,True,DEFAULT,Body System,C0014136,Disease_Has_Associated_Anatomic_Site|Disease_Has_Primary_Anatomic_Site,role,"A system of glands and cells that make hormones that are released directly into the blood and travel to tissues and organs all over the body. The endocrine system controls growth, sexual development, sleep, hunger, and the way the body uses food. | Anatomical system that consists of the glands and parts of glands that produce endocrine secretions and help to integrate and control bodily metabolic activity. | The body system that comprises the organs and glands that produce hormones that are secreted into the blood and control physiological functions that include reproduction, growth and development, metabolism, and stress responses.",13,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C12705
C12865,Endothelial Cell,True,DEFAULT,Cell,C0225336,Disease_Excludes_Normal_Cell_Origin,role,"The main type of cell forming the lining of blood and lymph vessels and the inner layer of the endocardium. | The main type of cell found in the inside lining of blood vessels, lymph vessels, and the heart.",7,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C12865
C12578,Epithelial Cell,True,DEFAULT,Cell,C0014597,Disease_Has_Normal_Cell_Origin,role,"Any of the cells of the epithelium, which covers the body and lines its cavities and glands.",5,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C12578
C20209,Epithelial Cell Adhesion Molecule,True,DEFAULT,"Amino Acid, Peptide, or Protein|Immunologic Factor",C0903677,Gene_Product_Malfunction_Associated_With_Disease,role,"Epithelial cell adhesion molecule (314 aa, ~35 kDa) is encoded by the human EPCAM gene. This protein is involved in both cell adhesion and cellular proliferation.",32,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C20209
C53596,Epithelial Component Present,True,DEFAULT,Finding,C1707933,Disease_Has_Finding,role,A morphologic finding indicating the presence of an epithelial component.,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C53596
C45714,Epithelial Tissue,True,DEFAULT,Tissue,,Disease_Has_Normal_Tissue_Origin,role,,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C45714
C207031,Expression of Neuroendocrine Markers Present,True,DEFAULT,Finding,,Disease_Has_Finding,role,A finding indicating expression of neuroendocrine markers in a tumor sample.,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C207031
C36150,Extensive Stage Lesion,True,DEFAULT,Finding,C1333487,Disease_Excludes_Finding|Disease_Has_Finding,role,A lesion that has spread outside of the immediate area where it originated.,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C36150
C187404,Extracellular Mucin Present,True,DEFAULT,Finding,,Disease_May_Have_Finding,role,A morphologic finding indicating the presence of extracellular mucin in a tumor sample.,2,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C187404
C32573,Extrahepatic Bile Duct,True,DEFAULT,Anatomical Structure,C0206187,Disease_Excludes_Primary_Anatomic_Site,role,"Passages external to the liver for the conveyance of bile. These include the common bile duct and the common hepatic duct. | The part of the common hepatic bile duct (tube that collects bile from the liver) that is outside the liver. This duct joins a duct from the gallbladder to form the common bile duct, which carries bile into the small intestine when food is being digested. | The portion of the biliary tract outside the liver; the common hepatic duct joins the cystic duct to form the common bile duct. | The portion of the biliary tract outside the liver; the common hepatic duct joins the cystic duct to form the common bile duct. (NCI)",6,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C32573
C20743,FGFR4 Gene,True,DEFAULT,Gene or Genome,C1333544,Gene_Associated_With_Disease,role,This gene plays a role in mitogenesis and differentiation.,9,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C20743
C52168,FGFR4 wt Allele,True,DEFAULT,Gene or Genome,C1705146,Gene_Associated_With_Disease,role,"Human FGFR4 wild-type allele is located within 5q35.1-qter and is approximately 11 kb in length. This allele, which encodes fibroblast growth factor receptor 4 protein, plays a role in the regulation of mitogenesis and differentiation.",9,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C52168
C63593,FOLFIRI Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,C1880658,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin calcium (calcium folinate), 5-fluorouracil, and irinotecan that can be used in the treatment of ampullary, appendiceal, small bowel, pancreatic and occult primary adenocarcinoma; colorectal, esophageal and esophagogastric junction, gastric, and hepatobiliary cancers; well-differentiated grade 3 neuroendocrine tumors (NETs), and extrapulmonary poorly differentiated neuroendocrine carcinoma, large or small cell carcinoma and mixed neuroendocrine-non-neuroendocrine neoplasm. | An abbreviation for a chemotherapy combination used to treat advanced colorectal cancer that has spread. It is also being studied in the treatment of other types of cancer. It includes the drugs leucovorin calcium (folinic acid), fluorouracil, and irinotecan hydrochloride.",14,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C63593
C63608,FOLFIRI-Bevacizumab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,C1880657,Regimen_Has_Accepted_Use_For_Disease,role,"A chemotherapy combination used as an initial treatment of colorectal cancer that has spread. It includes the drugs leucovorin (folinic acid), fluorouracil, irinotecan hydrochloride, and bevacizumab. | A regimen consisting of bevacizumab, fluorouracil, irinotecan and leucovorin that may be used in the treatment of ampullary and appendiceal adenocarcinoma, colorectal cancer, and small bowel adenocarcinoma.",28,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C63608
C104152,FOLFIRI-Cetuximab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin (folinic acid), 5-fluorouracil, and irinotecan plus cetuximab that can be used for the treatment of colorectal cancer.",7,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C104152
C225406,FOLFIRI-Cetuximab/Encorafenib Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin (folinic acid), 5-fluorouracil, and irinotecan (FOLFIRI) in combination with cetuximab and encorafenib that can be used for the treatment of colorectal cancer.",10,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C225406
C227045,FOLFIRI-Encorafenib/Panitumumab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin (folinic acid), 5-fluorouracil, and irinotecan (FOLFIRI) in combination with encorafenib and panitumumab that can be used for the treatment of colon cancer.",12,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C227045
C136249,FOLFIRI-Panitumumab Regimen,True,DEFAULT,Therapeutic or Preventive Procedure,,Regimen_Has_Accepted_Use_For_Disease,role,"A regimen consisting of leucovorin, fluorouracil and irinotecan (FOLFIRI), plus panitumumab that is used for the treatment of colorectal cancer.",9,https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C136249
